created_at,entry_id,Acc_x,Acc_y,Gyro_x,Gyro_y,EMG,latitude,longitude,elevation,status
2024-01-12T14:50:59+00:00,111,0.72544,9.78271,-0.12657,0.07035,887,,,,
2024-01-12T14:51:17+00:00,112,1.02951,9.74201,-0.03038,0.01252,882,,,,
2024-01-12T14:51:33+00:00,113,1.00317,9.75398,-0.02318,0.01039,881,,,,
2024-01-12T14:51:49+00:00,114,0.91698,9.71567,-0.05729,0.01998,880,,,,
2024-01-12T14:52:06+00:00,115,0.92895,9.75398,-0.06155,0.02345,880,,,,
2024-01-12T14:52:21+00:00,116,0.8691,9.71567,-0.06475,0.02292,880,,,,
2024-01-12T14:52:36+00:00,117,0.87388,9.75877,-0.06075,0.02745,870,,,,
2024-01-12T14:52:57+00:00,118,0.81163,9.73243,-0.03677,0.01972,878,,,,
2024-01-12T14:53:14+00:00,119,0.81642,9.70609,-0.04823,0.01759,875,,,,
2024-01-12T14:53:35+00:00,120,0.80685,9.76834,-0.06795,0.01865,875,,,,
2024-01-12T14:53:51+00:00,121,0.80445,9.7444,-0.05116,0.01945,876,,,,
2024-01-12T14:54:08+00:00,122,0.7829,9.7444,-0.03597,0.02505,877,,,,
2024-01-12T14:54:23+00:00,123,0.79009,9.71088,-0.05169,0.01759,874,,,,
2024-01-12T14:54:43+00:00,124,0.7039,9.80186,-0.02265,0.01652,875,,,,
2024-01-12T14:54:59+00:00,125,0.71826,9.75158,-0.06768,0.02505,874,,,,
2024-01-12T14:55:20+00:00,126,0.68714,9.76595,-0.03677,0.02665,874,,,,
2024-01-12T14:55:36+00:00,127,0.66798,9.77313,-0.03651,0.01865,871,,,,
2024-01-12T14:55:52+00:00,128,0.77812,9.72525,-0.04716,0.02212,874,,,,
2024-01-12T14:56:07+00:00,129,0.75657,9.73961,-0.06129,0.02798,874,,,,
2024-01-12T14:56:22+00:00,130,0.75657,9.72525,-0.05143,0.02611,872,,,,
2024-01-12T14:56:38+00:00,131,0.78051,9.73722,-0.05862,0.01972,874,,,,
2024-01-12T14:56:56+00:00,132,0.79727,9.71088,-0.05196,0.01839,874,,,,
2024-01-12T14:57:12+00:00,133,0.77093,9.73004,-0.0493,0.01945,871,,,,
2024-01-12T14:57:30+00:00,134,0.77093,9.73243,-0.06022,0.02238,870,,,,
2024-01-12T14:57:45+00:00,135,0.79248,9.72525,-0.0429,0.01652,871,,,,
2024-01-12T14:58:02+00:00,136,0.77093,9.73243,-0.06768,0.01839,873,,,,
2024-01-12T14:58:17+00:00,137,0.75657,9.7444,-0.02958,0.01599,871,,,,
2024-01-12T14:58:34+00:00,138,0.80445,9.73004,-0.06342,0.03038,874,,,,
2024-01-12T14:58:58+00:00,139,0.80206,9.68933,-0.06901,0.02185,875,,,,
2024-01-12T14:59:15+00:00,140,0.78051,9.69412,-0.05729,0.01892,877,,,,
2024-01-12T14:59:31+00:00,141,0.78051,9.72046,-0.06688,0.02851,871,,,,
2024-01-12T14:59:46+00:00,142,0.84276,9.7037,-0.10872,0.03144,878,,,,
2024-01-12T15:00:02+00:00,143,0.81882,9.72764,-0.06289,0.02505,879,,,,
2024-01-12T15:00:19+00:00,144,0.82121,9.7444,-0.04903,0.02025,880,,,,
2024-01-12T15:00:36+00:00,145,0.79966,9.70131,-0.05276,0.02158,879,,,,
2024-01-12T15:00:53+00:00,146,0.79727,9.7444,-0.07035,0.02878,880,,,,
2024-01-12T15:01:09+00:00,147,0.71587,9.77792,-0.05836,0.02505,880,,,,
2024-01-12T15:01:28+00:00,148,0.80924,9.75158,-0.06422,0.02771,886,,,,
2024-01-12T15:01:44+00:00,149,0.48123,8.60715,-0.06209,0.02691,882,,,,
2024-01-12T15:02:02+00:00,150,0.60813,8.74362,-0.03677,0.0437,891,,,,
